"","Face_response","Face_confidence","Face_Onset_Time","Face_Position","Noise_Number","Face_Size","Opacity","Direction_Report","subnumber","block_number"
"1143",1,4,10.4642367290003,5,260,7,0.2,2,"9MPV3",1
"1144",1,4,14.8499491290004,-7,420,8,0.7,1,"9MPV3",1
"1145",1,4,19.543501614,5,111,7,0.6,2,"9MPV3",1
"1146",1,4,24.5459340500001,5,125,6,0.4,2,"9MPV3",1
"1147",1,4,29.0330446000003,-7,402,6,0.5,1,"9MPV3",1
"1148",1,4,33.7881843940004,5,31,9,0.3,2,"9MPV3",1
"1149",1,1,38.185227514,7,278,7,0.1,1,"9MPV3",1
"1150",1,3,43.1665789910003,5,204,8,0.2,2,"9MPV3",1
"1151",1,4,49.3804633770001,7,226,9,0.7,2,"9MPV3",1
"1152",1,4,54.5793279890004,5,243,6,0.6,2,"9MPV3",1
"1153",1,4,59.0727377110002,-5,93,7,0.4,1,"9MPV3",1
"1154",1,4,63.3865580940001,7,233,8,0.5,2,"9MPV3",1
"1155",1,1,67.964659022,-5,172,9,0.3,1,"9MPV3",1
"1156",1,1,72.3536397350003,-7,309,6,0.1,2,"9MPV3",1
"1157",1,2,77.2927230100004,-5,393,6,0.2,2,"9MPV3",1
"1158",1,4,81.655275656,5,209,9,0.7,2,"9MPV3",1
"1159",1,4,85.9530543340002,-7,322,7,0.6,1,"9MPV3",1
"1160",1,4,90.2243724730001,-7,408,6,0.4,2,"9MPV3",1
"1161",1,4,0.022770170000058,-5,358,7,0.3,1,"9MPV3",2
"1162",1,4,4.50594387599995,-5,243,6,0.7,1,"9MPV3",2
"1163",1,2,8.79504407600007,-7,96,8,0.2,2,"9MPV3",2
"1164",1,4,13.568138612,7,242,9,0.4,2,"9MPV3",2
"1165",1,1,17.748701859,-5,112,6,0.1,1,"9MPV3",2
"1166",1,4,22.4680094120004,5,365,8,0.5,2,"9MPV3",2
"1167",1,4,26.7464523870003,-7,227,8,0.6,1,"9MPV3",2
"1168",1,3,30.9503327550001,-7,155,8,0.3,1,"9MPV3",2
"1169",1,4,35.2492036000003,5,55,9,0.7,2,"9MPV3",2
"1170",1,1,39.5845153220002,-7,67,7,0.2,1,"9MPV3",2
"1171",1,2,44.0668790270001,-7,206,6,0.4,1,"9MPV3",2
"1172",1,2,48.4461836529999,-7,328,9,0.1,2,"9MPV3",2
"1173",1,4,53.6639416480002,-7,224,7,0.5,1,"9MPV3",2
"1174",1,4,57.9019433520002,5,191,6,0.6,2,"9MPV3",2
"1175",1,4,62.0957212810004,5,232,7,0.3,2,"9MPV3",2
"1176",1,4,66.4192869379999,5,389,6,0.7,2,"9MPV3",2
"1177",1,1,70.6413797130003,-5,242,7,0.2,1,"9MPV3",2
"1178",1,4,74.816569175,7,232,9,0.4,2,"9MPV3",2
"1179",1,2,79.049255031,5,257,8,0.1,1,"9MPV3",2
"1180",1,4,83.7315811390004,-5,139,9,0.5,1,"9MPV3",2
"1181",1,1,0.030491222999899,-7,418,9,0.4,1,"9MPV3",3
"1182",1,1,5.00681263199976,-5,300,6,0.2,1,"9MPV3",3
"1183",1,4,9.31157622299998,7,169,8,0.7,2,"9MPV3",3
"1184",1,3,13.5888297920001,-7,291,7,0.3,1,"9MPV3",3
"1185",1,1,17.839379434,-5,350,9,0.1,1,"9MPV3",3
"1186",1,4,23.007414914,7,28,8,0.5,2,"9MPV3",3
"1187",1,4,27.2089473460001,5,279,6,0.6,2,"9MPV3",3
"1188",1,1,31.674764502,-5,59,8,0.4,2,"9MPV3",3
"1189",1,1,38.4958202299999,5,337,9,0.2,1,"9MPV3",3
"1190",1,4,44.21782536,-7,286,7,0.7,1,"9MPV3",3
"1191",1,4,48.5055877509999,5,100,7,0.3,2,"9MPV3",3
"1192",1,1,53.6593102769998,-7,366,6,0.1,1,"9MPV3",3
"1193",1,1,57.9389216169998,-7,48,8,0.5,2,"9MPV3",3
"1194",1,4,63.5309338249999,-7,244,8,0.6,1,"9MPV3",3
"1195",1,4,67.83587567,7,244,6,0.4,2,"9MPV3",3
"1196",1,1,72.0730013839998,-5,348,9,0.2,1,"9MPV3",3
"1197",1,4,76.6813203799998,5,370,6,0.7,2,"9MPV3",3
"1198",1,2,80.956065327,-7,245,6,0.3,2,"9MPV3",3
"1199",1,1,85.1621389900001,7,354,7,0.1,1,"9MPV3",3
"1200",1,4,89.7468476660001,-7,166,9,0.5,1,"9MPV3",3
"1201",1,4,0.0355537810000897,7,228,9,0.5,2,"9MPV3",4
"1202",1,2,4.57591486699994,-7,298,9,0.1,2,"9MPV3",4
"1203",1,2,9.055419669,5,208,7,0.3,2,"9MPV3",4
"1204",1,2,14.5441218740002,7,26,7,0.2,2,"9MPV3",4
